parameter,ols_estimate,ols_standard_error,hc3_estimate,hc3_standard_error,hc3_p_value
Intercept,17.365469273537943,8.301764675115578,17.365469273537943,8.982410599630944,0.05485407688163203
"C(support_group, Treatment(reference='Standard support'))[T.Peer mentoring]",4.526638297327567,2.834358951017225,4.526638297327567,2.684750406837254,0.09360882091270996
"C(support_group, Treatment(reference='Standard support'))[T.AI-assisted planning]",11.798110709220614,2.898887432080696,11.798110709220614,2.718568551804171,2.4338718807320597e-05
baseline_score,0.7142787876382664,0.12543601541453928,0.7142787876382664,0.1368063991983298,5.113620818449987e-07
