parameter,coefficient,standard_error,z_value,p_value,ci_low_coefficient,ci_high_coefficient,odds_ratio,or_ci_low,or_ci_high
Intercept,-3.170864772652995,0.9178360437486661,-3.454718077645339,0.0005508685129211749,-4.96979036211311,-1.3719391831928798,0.0419672900419368,0.00694460373420803,0.2536146770748616
"C(instructional_format, Treatment(reference='Face-to-face'))[T.Hybrid]",0.4921263300620746,0.24855193375366025,1.9799738534716889,0.04770646674728882,0.004973491617115133,0.9792791685070341,1.6357907557004732,1.0049858799557991,2.662536310015432
"C(instructional_format, Treatment(reference='Face-to-face'))[T.Online]",-0.5553601084606286,0.26584304025186756,-2.089052652777609,0.036702983762709675,-1.076402892894921,-0.03431732402633625,0.5738655701360005,0.34081928680353035,0.9662648369350015
"C(employment_status, Treatment(reference='Not employed'))[T.Part-time]",-0.025933522145667243,0.24960415384737691,-0.10389860002700342,0.9172498181125407,-0.5151486740781208,0.4632816297867863,0.9743998634678973,0.5974117683713998,1.589280868226885
"C(employment_status, Treatment(reference='Not employed'))[T.Full-time]",-0.20042023164549305,0.2969653773119092,-0.674894270368048,0.49974294100954075,-0.7824616758321832,0.3816212125411971,0.8183867687880043,0.4572789521022173,1.4646571862716244
prior_score,0.02560626839477756,0.012568986759271292,2.0372579655945255,0.04162419776911188,0.0009715070244450154,0.05024102976511011,1.0259369251478898,1.0009719790902536,1.051524514540884
study_hours,0.21344855022774373,0.051250235221543324,4.164830645265399,3.115837650921444e-05,0.11299993499431266,0.3138971654611748,1.2379398049085661,1.119631860166145,1.368748974640332
self_efficacy,0.013223104450105886,0.02024422573469767,0.6531790656454741,0.5136408446079043,-0.02645484888480046,0.05290105778501224,1.0133109163173786,0.9738920151534186,1.054325322675751
