parameter,estimate,standard_error_hc3,p_value,ci_low,ci_high
Intercept,16.06415280126571,3.7286681864105686,1.6452777565444653e-05,8.756097445600716,23.372208156930704
group[T.Workshop],4.469486995248088,1.3068611856522916,0.0006261730638322449,1.9080861385762833,7.030887851919893
group[T.Blended],6.097379900726835,1.4098583812499743,1.526583371735067e-05,3.3341082501749444,8.860651551278725
baseline_score,0.7685458233775598,0.056269695191748445,1.8025251320805028e-42,0.6582592473806862,0.8788323993744335
