quantity,estimate,standard_error,ci_low,ci_high,p_value
Intercept,59.65048197795788,1.776628011841971,56.14579418075766,63.1551697751581,2.4003348431970784e-81
Study-hours slope,2.3411486123665064,0.22901781883101432,1.8893737052680248,2.792923519464988,8.682968986398914e-20
HC3 study-hours slope,2.3411486123665064,0.33096871749496676,1.6882589710188993,2.9940382537141135,2.891736552827645e-11
Theil-Sen slope,2.6874999999999982,,2.2173913043478257,3.173913043478263,
Slope after removing max Cook case,2.619473068771466,0.22857288638604614,2.1685602424018637,3.0703858951410683,2.2493450076786147e-23
