model,predictors,n,r_squared,adjusted_r_squared,rmse,aic,bic
Model 1,Prior score,268,0.3237084949241885,0.32116604565698625,10.071255278682637,2002.5424036719212,2009.7243776329428
Model 2,"Prior, study, engagement, attendance, self-efficacy",268,0.58520258927264,0.5772866081518888,7.887414355021005,1879.5348998448353,1901.0808217279005
Model 3,Model 2 plus format and employment,268,0.599628502011015,0.5856620544067481,7.7490455656700075,1878.0484038667043,1913.958273671813
Model 4,Model 3 plus quadratic study term,268,0.6121954985114029,0.5971058291927804,7.626461129540772,1871.5014790354492,1911.0023358210685
