method,estimate,statistic,df,p_value,ci_low,ci_high
Welch t test,4.14109195402299,1.455088942870425,,0.14863392800457934,,
Yuen 20% trimmed-mean test,4.47499999999998,1.8069577471323461,63.10711193117514,0.07553629937032527,-0.4738024310225599,9.42380243102252
Mann-Whitney U,,2094.5,,0.056695893047045184,,
Brunner-Munzel,,-1.9095308510568305,,0.059141777280390655,,
Bootstrap median difference,4.700000000000003,,,,-2.700000000000003,10.549999999999997
Permutation trimmed-mean test,4.47499999999998,4.47499999999998,,0.0725927407259274,,
