model,n,free_parameters,df,chi_square,p_value,cfi,tli,rmsea,rmsea_90_ci_low,rmsea_90_ci_high,p_close,srmr,aic,bic
M1: Prespecified one-factor model,127,18,27,41.417338089643174,0.037533660028103356,0.9737508522531557,0.9650011363375408,0.06509916030970418,0.01611160957561589,0.10270038293608663,0.24740616927670658,0.0478653399939468,3144.7774723670996,3195.830546692226
M2: Correlated two-factor rival,127,19,26,41.36211394779941,0.028526712375203267,0.9720307315946681,0.9612733206695405,0.06847839054662237,0.022617430960743538,0.10620565094709984,0.20709205335479317,0.04784699126084708,3146.7222482252564,3200.6116044573346
M3: One factor plus q4-q9 residual covariance,127,19,26,41.14819376129874,0.029985026007159066,0.9724202086636371,0.9618125966111898,0.06799993212957797,0.021608207596060806,0.10580525932290039,0.21301663358108386,0.04766017028454833,3146.5083280387557,3200.397684270834
